slug,cluster,pillar_url,action
"blogs/advance-income-tax-pakistan","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/advance-tax-installments-pakistan","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/advance-tax-pakistan-2026","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/advance-tax-section-147-pakistan","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/affordable-tax-consultant-pakistan","City Tax Consultant","/income-tax-filing","already-has-link"
"blogs/amazon-seller-tax-pakistan","E-commerce Tax","/amazon-seller-tax-pakistan","already-has-link"
"blogs/aop-tax-return-pakistan-2026","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/azad-kashmir-tax-guide-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/balochistan-income-tax-guide-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/best-tax-consultant-islamabad-2026","City Tax Consultant","/income-tax-filing","already-has-link"
"blogs/best-tax-consultant-karachi-2026","City Tax Consultant","/income-tax-filing","already-has-link"
"blogs/best-tax-consultant-near-me-pakistan","City Tax Consultant","/income-tax-filing","already-has-link"
"blogs/best-tax-consultant-pakistan-fbr-filing-2026","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/best-tax-consultant-pakistan","City Tax Consultant","/income-tax-filing","already-has-link"
"blogs/business-expense-deductible-pakistan","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/business-income-tax-return-pakistan","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/capital-gains-tax-pakistan-2026","Property Tax","/tax-on-commercial-property-pakistan","ADDED"
"blogs/capital-gains-tax-shares-pakistan-2026","Property Tax","/tax-on-commercial-property-pakistan","ADDED"
"blogs/capital-value-tax-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/charitable-donation-tax-pakistan","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/company-registration-pakistan-2026","Company Registration","/secp-company-registration-guide-2026","ADDED"
"blogs/company-registration-pakistan","Company Registration","/secp-company-registration-guide-2026","ADDED"
"blogs/contractor-tax-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/corporate-income-tax-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/corporate-tax-rate-pakistan-2026","General Tax","/income-tax-return-pakistan","ADDED"
"blogs/crypto-tax-pakistan-2026","Crypto Tax","/crypto-tax-rules-pakistan-2026","ADDED"
"blogs/cryptocurrency-tax-fbr-pakistan","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/deemed-income-tax-property-pakistan","Property Tax","/tax-on-commercial-property-pakistan","already-has-link"
"blogs/depreciation-tax-pakistan","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/double-taxation-treaty-pakistan","General Tax","/income-tax-return-pakistan","ADDED"
"blogs/education-expense-tax-credit-pakistan","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/export-income-tax-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/fbr-active-taxpayer-list-guide","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/fbr-audit-pakistan-2026","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-audit-procedure-pakistan-2026","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/fbr-audit-selection-criteria","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/fbr-broadening-tax-base-pakistan","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-income-tax-return-deadline-2026-pakistan","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/fbr-iris-portal-guide-pakistan","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/fbr-notice-received-what-to-do-pakistan","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-notice-response-guide-pakistan","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-notice-section-122-pakistan","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/fbr-notice-section-176-pakistan","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/fbr-penalty-pakistan-2026","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-registration-new-business-pakistan","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-registration-step-by-step","FBR Procedures","/fbr-ntn-registration-guide","already-has-link"
"blogs/fbr-section-111-notice-response-guide","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-section-122-notice-pakistan","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/fbr-tax-payment-psid-guide-2026","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/filer-benefits-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/filer-vs-non-filer-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/finance-act-2026-key-changes-pakistan","General Tax","/income-tax-return-pakistan","ADDED"
"blogs/finance-act-2026-pakistan-tax-changes","General Tax","/income-tax-return-pakistan","ADDED"
"blogs/freelancer-ntn-filer-status-guide","Freelancer Tax","/freelancer-tax-pakistan","already-has-link"
"blogs/freelancer-tax-pakistan-2026","Freelancer Tax","/freelancer-tax-pakistan","already-has-link"
"blogs/gift-tax-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/gilgit-baltistan-tax-guide-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/gratuity-tax-pakistan","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/hospital-clinic-tax-pakistan","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/house-rent-allowance-tax-pakistan","Property Tax","/tax-on-commercial-property-pakistan","already-has-link"
"blogs/how-to-avoid-fbr-notice-pakistan","FBR Procedures","/fbr-ntn-registration-guide","ADDED"
"blogs/how-to-become-active-filer-pakistan-2026","General Tax","/income-tax-return-pakistan","already-has-link"
"blogs/how-to-download-ntn-certificate-fbr","NTN Registration","/ntn-registration","already-has-link"
"blogs/how-to-file-income-tax-return-fbr-iris-2026","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/how-to-file-income-tax-return-pakistan-2026","Income Tax Filing","/income-tax-filing","already-has-link"
"blogs/how-to-file-nil-return-pakistan","Income Tax Filing","/income-tax-filing","already-has-link"
