inv_id,name,pass,fail,total,pct_pass,failing_sample
INV-1,One H1,1763,1,1764,100%,"        Tax Consultant(0)"
INV-2,Heading hierarchy,1764,0,1764,100%,""
INV-3,Canonical present,1762,2,1764,100%,"index;        Tax Consultant"
INV-4,OG tags present,1762,2,1764,100%,"index;        Tax Consultant"
INV-5,Twitter card present,1762,2,1764,100%,"index;        Tax Consultant"
INV-6,BlogPosting on blogs,1627,0,1627,100%,""
INV-7,BreadcrumbList,1761,3,1764,100%,"blogs;index;        Tax Consultant"
INV-10,Title ≤60c,1763,1,1764,100%,"blogs(68)"
INV-11,Unique titles,1763,1,1764,100%,"blogs/tax-consultant-kot-khawaja-saeed-lahore(dup of:blogs/tax-consultant-kot-khawaja-lahore)"
INV-12,Meta 140-200c,1677,87,1764,95%,"blogs/freelancer-tax-pakistan-2026(0);blogs/ntn-registration-online-pakistan-2026(0);blogs/tax-consultant-airport-housing-society-lahore(0);blogs/tax-consultant-airport-road-rawalpindi(0);blogs/tax-consultant-allama-iqbal-industrial-estate-lahore(0)"
INV-13,TL;DR on blogs,1627,0,1627,100%,""
INV-14,FAQPage schema,1762,2,1764,100%,"blogs;index"
INV-15,Blog word count ≥500,1627,0,1627,100%,""
INV-20,Title has KW (≥15c),1763,1,1764,100%,"        Tax Consultant(1)"
INV-21,dateModified (sampled),82,0,82,100%,""
INV-24,≥2 internal links (sampled),163,0,163,100%,""
INV-25,Canonical format (sampled),58,1,59,98%,"        Tax Consultant(no canonical)"
H2-IDs,H2 id anchors (sampled),82,0,82,100%,""
INV-5b,Image alt tags (sampled),118,0,118,100%,""
